,date,ndvi,gndvi,no2,soil_moisture,soil_temp,day,month,year,growing_season,yield
75,2021-05-03,0.870237768376923,0.8742273086033764,0.459795599078767,0.7978088190317757,0.6444742488751656,3,5,2021,1,0.0
76,2021-05-08,0.6035916415382665,0.5789891708973258,0.49462876231589137,0.9394524048396916,0.5104804046612204,8,5,2021,1,0.0
77,2021-05-13,0.5959618089189165,0.566503555259316,0.5421323382930405,0.9545757266540326,0.7234690552328571,13,5,2021,1,0.0
78,2021-05-18,0.7667811044704412,0.7558276392665604,0.3771903226923373,0.9892384602852023,0.2755618387679215,18,5,2021,1,0.0
79,2021-05-23,0.8572956216052541,0.8569953668440895,0.331089245059611,0.7210117276487248,0.6065346482953649,23,5,2021,1,0.8106451779923091
82,2021-09-15,0.5353908382590736,0.5686722730828467,0.465225385012784,0.760436406874809,0.5287485652454427,15,9,2021,2,0.0
83,2021-09-20,0.6289524736414316,0.6559195173977552,0.6175318070470088,0.8937022840760652,0.22346238308019029,20,9,2021,2,0.0
84,2021-09-25,0.24967073070620835,0.2792707579231749,0.5089148136846346,0.6408989958754577,0.6864848295555079,25,9,2021,2,0.0
85,2021-09-30,0.0,0.006059145369311569,0.416326294103999,0.9751498469374628,0.16952063967570918,30,9,2021,2,0.0
86,2021-10-05,0.4588753799863525,0.44543763871071335,0.4022015335384729,0.6353510148432074,0.2970394014788935,5,10,2021,2,0.0
87,2021-10-10,0.9177507599727053,0.8848161320521152,0.7414239925421184,0.36791031764406623,0.8123796474202445,10,10,2021,2,0.0
88,2021-10-15,0.9470390007586331,0.9349677205376687,0.4128636269062057,0.0466076139679924,0.7508517631405249,15,10,2021,2,0.0
89,2021-10-20,0.8228126041531677,0.8142002376646194,0.8880671783400735,0.9449718027651294,0.09896678331652975,20,10,2021,2,0.0
90,2021-10-25,0.7550565533777357,0.740697941141864,0.5354062747424413,0.9369170832654482,0.43013221499029886,25,10,2021,2,0.0
91,2021-10-30,0.7993109952926845,0.789513028301122,0.6539156137040794,0.8391742912104087,0.5366909410539451,30,10,2021,2,0.0
92,2021-11-04,0.8435654372076332,0.8383281154603802,0.6432278364055539,0.9669807950105328,0.3518492983119481,4,11,2021,2,0.0
93,2021-11-14,0.887819879122582,0.8871432026196382,0.2364722956884937,0.8713159948207411,0.3054942759699122,14,11,2021,2,0.0
94,2021-11-19,0.8982248245390214,0.8937109272633272,0.40278468598257544,0.8872196354510554,0.45969913426402,19,11,2021,2,0.0
95,2021-11-24,0.1480173580396,0.14245151618687962,0.8453524819511526,0.9819754928442191,0.27313897707197743,24,11,2021,2,0.906054515586977
